Ville;Temp;Min;Max;Date
Paris;9°c;9°c;9°c;2021-02-26 03:00:00;
Paris;9°c;9°c;9°c;2021-02-26 06:00:00;
Paris;9°c;9°c;9°c;2021-02-26 09:00:00;
Paris;11°c;11°c;11°c;2021-02-26 12:00:00;
Paris;12°c;12°c;12°c;2021-02-26 15:00:00;
Paris;10°c;10°c;10°c;2021-02-26 18:00:00;
Paris;8°c;8°c;8°c;2021-02-26 21:00:00;
Paris;6°c;6°c;6°c;2021-02-27 00:00:00;
Paris;5°c;5°c;5°c;2021-02-27 03:00:00;
Paris;4°c;4°c;4°c;2021-02-27 06:00:00;
Paris;6°c;6°c;6°c;2021-02-27 09:00:00;
Paris;10°c;10°c;10°c;2021-02-27 12:00:00;
Paris;11°c;11°c;11°c;2021-02-27 15:00:00;
Paris;9°c;9°c;9°c;2021-02-27 18:00:00;
Paris;13°c;12°c;13°c;2021-02-22 21:00:00;
Paris;13°c;12°c;13°c;2021-02-23 00:00:00;
Paris;11°c;11°c;11°c;2021-02-23 03:00:00;
Paris;11°c;11°c;11°c;2021-02-23 06:00:00;
Paris;12°c;12°c;12°c;2021-02-23 09:00:00;
Paris;16°c;16°c;16°c;2021-02-23 12:00:00;
Paris;17°c;17°c;17°c;2021-02-23 15:00:00;
Paris;14°c;14°c;14°c;2021-02-23 18:00:00;
Paris;13°c;13°c;13°c;2021-02-23 21:00:00;
Paris;12°c;12°c;12°c;2021-02-24 00:00:00;
Paris;11°c;11°c;11°c;2021-02-24 03:00:00;
Paris;10°c;10°c;10°c;2021-02-24 06:00:00;
Paris;12°c;12°c;12°c;2021-02-24 09:00:00;
Paris;16°c;16°c;16°c;2021-02-24 12:00:00;
Paris;18°c;18°c;18°c;2021-02-24 15:00:00;
Paris;15°c;15°c;15°c;2021-02-24 18:00:00;
Paris;13°c;13°c;13°c;2021-02-24 21:00:00;
Paris;12°c;12°c;12°c;2021-02-25 00:00:00;
Paris;11°c;11°c;11°c;2021-02-25 03:00:00;
Paris;10°c;10°c;10°c;2021-02-25 06:00:00;
Paris;11°c;11°c;11°c;2021-02-25 09:00:00;
Paris;14°c;14°c;14°c;2021-02-25 12:00:00;
Paris;15°c;15°c;15°c;2021-02-25 15:00:00;
Paris;13°c;13°c;13°c;2021-02-25 18:00:00;
Paris;12°c;12°c;12°c;2021-02-25 21:00:00;
Paris;11°c;11°c;11°c;2021-02-26 00:00:00;
Paris;9°c;9°c;9°c;2021-02-26 03:00:00;
Paris;9°c;9°c;9°c;2021-02-26 06:00:00;
Paris;9°c;9°c;9°c;2021-02-26 09:00:00;
Paris;11°c;11°c;11°c;2021-02-26 12:00:00;
Paris;12°c;12°c;12°c;2021-02-26 15:00:00;
Paris;10°c;10°c;10°c;2021-02-26 18:00:00;
Paris;8°c;8°c;8°c;2021-02-26 21:00:00;
Paris;6°c;6°c;6°c;2021-02-27 00:00:00;
Paris;5°c;5°c;5°c;2021-02-27 03:00:00;
Paris;4°c;4°c;4°c;2021-02-27 06:00:00;
Paris;6°c;6°c;6°c;2021-02-27 09:00:00;
Paris;10°c;10°c;10°c;2021-02-27 12:00:00;
Paris;11°c;11°c;11°c;2021-02-27 15:00:00;
Paris;9°c;9°c;9°c;2021-02-27 18:00:00;
Quartier Saint-Merri;13°c;12°c;13°c;2021-02-22 21:00:00;
Quartier Saint-Merri;13°c;12°c;13°c;2021-02-23 00:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-23 03:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-23 06:00:00;
Quartier Saint-Merri;12°c;12°c;12°c;2021-02-23 09:00:00;
Quartier Saint-Merri;16°c;16°c;16°c;2021-02-23 12:00:00;
Quartier Saint-Merri;17°c;17°c;17°c;2021-02-23 15:00:00;
Quartier Saint-Merri;14°c;14°c;14°c;2021-02-23 18:00:00;
Quartier Saint-Merri;13°c;13°c;13°c;2021-02-23 21:00:00;
Quartier Saint-Merri;12°c;12°c;12°c;2021-02-24 00:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-24 03:00:00;
Quartier Saint-Merri;10°c;10°c;10°c;2021-02-24 06:00:00;
Quartier Saint-Merri;12°c;12°c;12°c;2021-02-24 09:00:00;
Quartier Saint-Merri;16°c;16°c;16°c;2021-02-24 12:00:00;
Quartier Saint-Merri;18°c;18°c;18°c;2021-02-24 15:00:00;
Quartier Saint-Merri;15°c;15°c;15°c;2021-02-24 18:00:00;
Quartier Saint-Merri;13°c;13°c;13°c;2021-02-24 21:00:00;
Quartier Saint-Merri;12°c;12°c;12°c;2021-02-25 00:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-25 03:00:00;
Quartier Saint-Merri;10°c;10°c;10°c;2021-02-25 06:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-25 09:00:00;
Quartier Saint-Merri;14°c;14°c;14°c;2021-02-25 12:00:00;
Quartier Saint-Merri;15°c;15°c;15°c;2021-02-25 15:00:00;
Quartier Saint-Merri;13°c;13°c;13°c;2021-02-25 18:00:00;
Quartier Saint-Merri;12°c;12°c;12°c;2021-02-25 21:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-26 00:00:00;
Quartier Saint-Merri;9°c;9°c;9°c;2021-02-26 03:00:00;
Quartier Saint-Merri;9°c;9°c;9°c;2021-02-26 06:00:00;
Quartier Saint-Merri;9°c;9°c;9°c;2021-02-26 09:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-26 12:00:00;
Quartier Saint-Merri;12°c;12°c;12°c;2021-02-26 15:00:00;
Quartier Saint-Merri;10°c;10°c;10°c;2021-02-26 18:00:00;
Quartier Saint-Merri;8°c;8°c;8°c;2021-02-26 21:00:00;
Quartier Saint-Merri;6°c;6°c;6°c;2021-02-27 00:00:00;
Quartier Saint-Merri;5°c;5°c;5°c;2021-02-27 03:00:00;
Quartier Saint-Merri;4°c;4°c;4°c;2021-02-27 06:00:00;
Quartier Saint-Merri;6°c;6°c;6°c;2021-02-27 09:00:00;
Quartier Saint-Merri;10°c;10°c;10°c;2021-02-27 12:00:00;
Quartier Saint-Merri;11°c;11°c;11°c;2021-02-27 15:00:00;
Quartier Saint-Merri;9°c;9°c;9°c;2021-02-27 18:00:00;
Paris 01 Louvre;13°c;12°c;13°c;2021-02-22 21:00:00;
Paris 01 Louvre;13°c;12°c;13°c;2021-02-23 00:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-23 03:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-23 06:00:00;
Paris 01 Louvre;12°c;12°c;12°c;2021-02-23 09:00:00;
Paris 01 Louvre;16°c;16°c;16°c;2021-02-23 12:00:00;
Paris 01 Louvre;17°c;17°c;17°c;2021-02-23 15:00:00;
Paris 01 Louvre;14°c;14°c;14°c;2021-02-23 18:00:00;
Paris 01 Louvre;13°c;13°c;13°c;2021-02-23 21:00:00;
Paris 01 Louvre;12°c;12°c;12°c;2021-02-24 00:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-24 03:00:00;
Paris 01 Louvre;10°c;10°c;10°c;2021-02-24 06:00:00;
Paris 01 Louvre;12°c;12°c;12°c;2021-02-24 09:00:00;
Paris 01 Louvre;16°c;16°c;16°c;2021-02-24 12:00:00;
Paris 01 Louvre;18°c;18°c;18°c;2021-02-24 15:00:00;
Paris 01 Louvre;15°c;15°c;15°c;2021-02-24 18:00:00;
Paris 01 Louvre;13°c;13°c;13°c;2021-02-24 21:00:00;
Paris 01 Louvre;12°c;12°c;12°c;2021-02-25 00:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-25 03:00:00;
Paris 01 Louvre;10°c;10°c;10°c;2021-02-25 06:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-25 09:00:00;
Paris 01 Louvre;14°c;14°c;14°c;2021-02-25 12:00:00;
Paris 01 Louvre;15°c;15°c;15°c;2021-02-25 15:00:00;
Paris 01 Louvre;13°c;13°c;13°c;2021-02-25 18:00:00;
Paris 01 Louvre;12°c;12°c;12°c;2021-02-25 21:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-26 00:00:00;
Paris 01 Louvre;9°c;9°c;9°c;2021-02-26 03:00:00;
Paris 01 Louvre;9°c;9°c;9°c;2021-02-26 06:00:00;
Paris 01 Louvre;9°c;9°c;9°c;2021-02-26 09:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-26 12:00:00;
Paris 01 Louvre;12°c;12°c;12°c;2021-02-26 15:00:00;
Paris 01 Louvre;10°c;10°c;10°c;2021-02-26 18:00:00;
Paris 01 Louvre;8°c;8°c;8°c;2021-02-26 21:00:00;
Paris 01 Louvre;6°c;6°c;6°c;2021-02-27 00:00:00;
Paris 01 Louvre;5°c;5°c;5°c;2021-02-27 03:00:00;
Paris 01 Louvre;4°c;4°c;4°c;2021-02-27 06:00:00;
Paris 01 Louvre;6°c;6°c;6°c;2021-02-27 09:00:00;
Paris 01 Louvre;10°c;10°c;10°c;2021-02-27 12:00:00;
Paris 01 Louvre;11°c;11°c;11°c;2021-02-27 15:00:00;
Paris 01 Louvre;9°c;9°c;9°c;2021-02-27 18:00:00;
Paris 01;13°c;12°c;13°c;2021-02-22 21:00:00;
Paris 01;13°c;12°c;13°c;2021-02-23 00:00:00;
Paris 01;11°c;11°c;11°c;2021-02-23 03:00:00;
Paris 01;11°c;11°c;11°c;2021-02-23 06:00:00;
Paris 01;12°c;12°c;12°c;2021-02-23 09:00:00;
Paris 01;16°c;16°c;16°c;2021-02-23 12:00:00;
Paris 01;17°c;17°c;17°c;2021-02-23 15:00:00;
Paris 01;14°c;14°c;14°c;2021-02-23 18:00:00;
Paris 01;13°c;13°c;13°c;2021-02-23 21:00:00;
Paris 01;12°c;12°c;12°c;2021-02-24 00:00:00;
Paris 01;11°c;11°c;11°c;2021-02-24 03:00:00;
Paris 01;10°c;10°c;10°c;2021-02-24 06:00:00;
Paris 01;12°c;12°c;12°c;2021-02-24 09:00:00;
